"business_product_id";"information_group";"discriminator";"changed_time";"deleted";"name";"street";"house_number";"box_number";"postal_code";"city_name";"main_city_name";"distance";"promotional_region";"x";"y";"lat";"long";"green_key_labeled";"accessibility_label";"closing_period";"next_year_closing_period";"phone1";"phone2";"phone3";"email";"website";"facebook";"twitter";"flickr";"instagram";"product_description";"link_to_accessibility_website";"accessibility_description";"entrance";"route_and_levels";"common_toilet";"allergies";"experience";"extra_facilities";"food_allergy";"deaf";"auditive";"mental";"motor";"blind";"visual";"autism";"food_allergy_desc";"allergies_desc";"deaf_desc";"auditive_desc";"mental_desc";"motor_desc";"blind_desc";"visual_desc";"autism_desc"
"398519";"ACTIVITY";"SPA_OR_WELLNESS";"2025-03-06 20:47:30";"0";"Badhuis Lavendula";"SCHRAAGVELD";"7";"";"9160";"Lokeren";"Lokeren";"";"waasland";"119004.4013012678";"201455.8913415521";"51.122349";"3.926045";"";"";"";"";"+ 32 496 23 88 11";"";"";"info@badhuislavendula.be";"https://www.badhuislavendula.be";"";"";"";"";"";"";"Uniek in Oost-Vlaanderen, een privé wellness die volledig toegankelijk is. Er is aan alles gedacht: een hellend vlak tot aan de ingangsdeur, drempelloze deuren, brede deuren aan hammam, finse sauna en infraroodsauna. Inrijdouche met mogelijkheid tot gebruik van een doucherolstoel. Zwembadlift aan het verwarmd binnenzwembad. Aangepaste wastafel en toilet. Stopcontacten op hoogte. Voldoende ruimte om in voort te bewegen. Tillift aan het daybed van de pergola in de tuin. Waternoodles en drijvend materiaal aanwezig. Je kan er ook een zorgmassage boeken, dat is extra genieten!";"";"";"";"";"";"";"";"";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"276869";"ACTIVITY";"EXCURSION_OR_DAY_TRIP";"2025-03-07 01:18:46";"0";"Bezoekerscentrum “Duvel Depot”";"Breendonkdorp";"66";"";"2870";"Puurs";"Puurs-Sint-Amands";"";"scheldeland";"147027.87";"192494.41";"51.04259819987163";"4.326392287283246";"";"";"";"";"+32 3 866 95 21";"";"";"brouwerijbezoek@duvel.be";"http://www.duvel.com";"";"";"";"";"De productie van Duvel begon in 1923 met een paar kratten. Vandaag genieten talloze bierliefhebbers over de hele wereld (in meer dan 60 landen) van dit bier. Het wordt nog steeds gebrouwen met het grootste respect voor het originele recept en de rijpingsperiode. Bezoekers kunnen kiezen voor een standaard bezoek, een bezoek met een bierproeverij of een bezoek met foodpairing (bier en kaas).";"";"Brouwerij Duvel Moortgat biedt je verschillende brouwerij-ervaringen. Kom je graag eens langs voor een rondleiding op de site, of laat je graag je zintuigen eens prikkelen met een tasting? Ben je een volledige leek of reikt je kennis toch al iets verder? Je ontdekt ongetwijfeld wat je zoekt.";"";"De ingang is drempelloos toegankelijk. ";"De lift naar de verdieping is eerder klein, maar toegankelijk met een standaard manuele rolstoel. Van de te bezoeken ruimtes is enkel de bottelarij niet toegankelijk. Andere ruimtes bereik je via de lift en via hellingen. De ruimtes met uitleg over het brouwproces, zicht op gisting en lagering, film op moutzolder, winkel en café zijn toegankelijk (met hulp). ";"0";"";"Er is een ruim aangepast toilet met beugels, al is de vaste beugel moeilijk bruikbaar.";"0";"0";"0";"0";"1";"0";"0";"0";"";"";"";"";"";"";"";"";""
"276868";"ACTIVITY";"EXCURSION_OR_DAY_TRIP";"2025-03-06 16:42:51";"0";"Bezoekerscentrum en stoeterij brouwerij Palm";"Steenhuffeldorp";"3";"";"1840";"Steenhuffel";"Londerzeel";"";"groeneGordel";"142985.03";"187383.03";"50.99661893878213";"4.268845575321181";"";"";"";"";"+32 52 31 74 11";"";"";"info@palm.be";"http://www.palm.be";"";"";"";"";"De groep van Palm Belgian Craft Brewers heeft heel wat gekende bieren onder haar vleugels. Het bier Palm zelf ken je natuurlijk van het Brabants trekpaard dat het logo siert. Naast een bezoek aan de brouwerij, het eigen hopveld en het bezoekerscentrum kan je ook de raspaarden  gaan bewonderen in de stoeterij Diepensteyn.

";"";"Brouwerij Palm/De Hoorn heeft heel wat gekende bieren zoals Palm en Cornet onder haar vleugels. Naast een bezoek aan de brouwerij, het eigen hopveld en het bezoekerscentrum kan je ook de raspaarden  gaan bewonderen in de stoeterij Diepensteyn.";"";"Enkel het bezoekerscentrum en de stoeterij zijn toegankelijk, de rest van de brouwerij niet. ";"";"0";"";"Er is een aangepast toilet dat bruikbaar is met hulp. ";"0";"0";"0";"0";"1";"0";"0";"0";"";"";"";"";"";"";"";"";""
"212360";"ACTIVITY";"EXCURSION_OR_DAY_TRIP";"2025-07-06 22:50:28";"0";"Bezoekerscentrum van de Hagelandse wijn";"Kerkstraat";"16";"";"3111";"Wezemaal";"Rotselaar";"";"hageland";"177175.85";"182047.84";"50.94806236442257";"4.755466098740622";"0";"BASIC";"Geen";"";"+32 16 61 64 40";"";"";"toerisme@rotselaar.be";"https://www.rotselaar.be/bezoekerscentrum-van-de-hagelandse-wijn-1";"";"";"";"";"Toeristisch infokantoor met thematisch bezoekerscentrum. In dit onthaalkantoor draait alles rond de wijnteelt in het Hageland. Men vindt er een toeristische kaart met de vermelding van alle wijnbouwers uit de regio, een maquette van de historische wijngaardberg met aandacht voor de natuurwaarden en het microklimaat en een ruimte om bezoekers te ontvangen die eveneens dienst kan doen als tentoonstellingsruimte.";"";"Wie de Hagelandse wijn en het Hageland wil leren kennen raden wij een bezoek aan Wezemaal en het wijnbezoekerscentrum aan.";"";"Misschien heb je wat hulp nodig op een drempel op het voetpad. Er is een toegankelijke ingang aan de achterzijde. Er is een goed onderrijdbare balie aanwezig.";"De ruimte voor de lift  is nipt, maar bruikbaar. De oproepknop  is wat moeilijker bereikbaar, maar de lift is verder goed bruikbaar.";"0";"";"De circulatieruimte in het toilet is wat nipt, maar wel bruikbaar. Er is voldoende opstelruimte voor en naast het toilet en beugels zijn voorzien.";"0";"0";"0";"0";"1";"1";"1";"0";"";"";"";"";"";"";"Van de film over wijnbouw in het Hageland werd een versie met voice over gemaakt voor blinden en slechtzienden. ";"";""
"298008";"ACTIVITY";"EXCURSION_OR_DAY_TRIP";"2020-06-02 18:03:08";"1";"Bourgogne Des Flandres";"Kartuizerinnenstraat";"6";"";"8000";"Brugge";"Brugge";"";"kunststadBrugge";"70153.16";"211367.27";"51.20673382212288";"3.226251666936173";"";"INFORMATION_AVAILABLE";"";"";"+ 32 50 33 54 26";"";"";"info@bourgognedesflandres.be";"http://www.bourgognedesflandres.be/";"";"";"";"";"Na bijna 60 jaar is Bourgogne des Flandres terug in de Brugse binnenstad met een eigen brouwerij. Ga op verkenning in de brouwerij en laat je op zolder verrassen door de geur van het mout en de verse hop. Hier wordt voor je eigen ogen gebrouwen! 
Tijdens het bezoek ontdek je op eigen houtje meer over de ingrediënten en het brouwproces, maar kan je ook digitaal leren tappen of naar huis gaan met met jouw foto op de fles! Afsluiten doe je uiteraard met een gratis Bourgogne des Flandres met een uniek zicht op de Brugse reitjes … Voor groepen is er eveneens de mogelijkheid om een 'blending sessie' aan te vragen, waarin de perfecte Bourgogne des Flandres kunt samenstellen volgens je eigen smaak.";"https://toevla.vlaanderen.be/publiek/nl/register/detail/6147";"
Na bijna 60 jaar is Bourgogne des Flandres terug in de Brugse binnenstad met een eigen brouwerij. Ga op verkenning in de brouwerij en laat je op zolder verrassen door de geur van het mout en de verse hop. Hier wordt voor je eigen ogen gebrouwen!  Tijdens het bezoek ontdek je op eigen houtje meer over de ingrediënten en het brouwproces, maar kan je ook digitaal leren tappen of naar huis gaan met jouw foto op de fles. Afsluiten doe je uiteraard met een gratis Bourgogne des Flandres met een uniek zicht op de Brugse reitjes.  
";"";"Aan de toegangsdeur zijn er 2 treden, maar rolstoelgebruikers kunnen de toegang tot de Brasserie nemen. Die is voldoende breed en drempelloos. ";"Enkel de multimediazaal (+1) en de tentoonstellingsruimte op de zolderverdieping (+2) zijn rolstoeltoegankelijk. Een medewerker helpt je om met de lift de verdiepingen te bereiken. Je kan hulp nodig hebben op enkele hellingen.";"0";"";"In het aangepast toilet is de draairuimte beperkt, maar je hebt voldoende opstelruimte aan het toilet. De wastafel is klein en de steunbeugel is moeilijk bruikbaar. 
";"0";"0";"0";"0";"1";"0";"0";"0";"";"";"";"";"";"";"";"";""
"276541";"ACTIVITY";"EXCURSION_OR_DAY_TRIP";"2025-07-06 22:53:12";"0";"Brouwerij Boon";"FONTEINSTRAAT";"65";"";"1502";"Lembeek";"Halle";"";"groeneGordel";"139477.346251112";"155724.0137642436";"50.711983";"4.219762";"";"";"";"";"+32 2 356 66 44";"";"";"toerisme@boon.be";"http://www.boon.be";"";"";"";"";"De eerste sporen van de huidige brouwerij Boon gaan terug tot 1680. In dat jaar kocht J.B. Claes een boerderij om er zijn eigen brouwerij-stokerij te vestigen. In 1975 koopt Frank Boon de brouwerij en vormt de oude geuzestekerij om tot een moderne lambiekbrouwerij die de eeuwenoude traditie in ere houdt. Lambiek van superieure kwaliteit moet worden bewaard in houten vaten. De brouwerij heeft meer dan 100 vaten die horizontaal liggen te rusten.

";"";"Bezoeken aan Brouwerij Boon: schrijf je online in via www.boon.be voor één van de gegidste rondleidingen. Mogelijkheden voor kleine of grote groepen zijn er op donderdag, vrijdag en zaterdag. De duur van het bezoek bedraagt +/- 90 min, inclusief degustatie van 3 bieren. Rondleidingen zijn mogelijk in het Nederlands, Frans en Engels.";"";"";"Het traject van de rondleiding is niet rolstoeltoegankelijk. Wel is de benedenverdieping via een alternatief bezoekerscircuit te bezoeken. Dit maakt ongeveer 1/2 uit van het te bezoeken deel van de brouwerij.";"0";"";"";"0";"0";"0";"0";"1";"0";"0";"0";"";"";"";"";"";"";"";"";""
"385973";"ACTIVITY";"EXCURSION_OR_DAY_TRIP";"2025-03-06 18:13:59";"0";"Brouwerij Bourgogne des Flandres";"KARTUIZERINNENSTRAAT";"6";"";"8000";"Brugge";"Brugge";"";"kunststadBrugge";"70223.14602548027";"211320.0386266187";"51.2068595886";"3.2259624004";"";"";"";"";"+32 50 33 54 26";"";"";"visits@bourgognedesflandres.be";"https://www.bourgognedesflandres.be";"";"";"";"";"";"";"In deze romantische brouwerij ontmoet je de Brouwer himself die je leert hoe 2 van de meest ambachtelijke bieren geblend worden tot de iconische Bourgogne des Flandres.";"";"De toegang tot de brouwerij is drempelloos bereikbaar via de ingang van de brasserie.";"";"";"";"Het aangepast toilet bereik je door de lift te nemen.";"";"";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"276543";"ACTIVITY";"EXCURSION_OR_DAY_TRIP";"2025-03-06 16:14:27";"0";"Brouwerij Gruut";"REMBERT DODOENSDREEF";"";"";"9000";"Gent";"Gent";"";"kunststadGent";"105321.2448986998";"194270.7388192685";"51.057402";"3.730239";"";"";"";"";"+32 9 269 02 69";"";"";"booking@gruut.be";"http://www.gruut.be";"";"";"";"";"Stadsbrouwerij Gruut ligt in het centrum van Gent. Ze is bijzonder omdat er geen hop wordt gebruikt, maar 'gruyt' of 'gruut', een kruidenmengsel. De brouwerij werd door Annick De Splenter in 2009 opgericht. Van jongs af aan werd ze ingewijd in de wondere wereld van gisting en bier. De liefde voor het brouwen zit duidelijk in de genen, want zowel langs moeders- als langs vaderszijde was men actief in de brouwerijwereld. Vandaag combineert ze moderne technologie met eeuwenoude traditie.

";"";"De Gentse stadsbrouwerij Gruut werd door Annick De Splenter opgericht in april 2009 aan de Grote Huidevettershoek te Gent. Van jongs af aan werd ze ingewijd in de wondere wereld van gisting en bier. De liefde voor het brouwen zit Annick duidelijk in de genen, want zowel langs moeders- als langs vaderszijde was men actief in de brouwerijwereld. Denk maar aan de merknamen: Young Pale Ale uit Gistel en Dentergems Wit, Liefmans of Lucifer uit Dentergem. De uitzonderlijke eigenschap van vier van onze Gentse Gruuten bestaat er in dat er zonder hop wordt gebrouwen. Het onderzoek naar alternatieven ter vervanging van het hopkruid ging natuurlijk niet zonder slag of stoot. Een cursus biochemie en enkele samenwerkingsverbanden met verschillende universiteiten later zag het Gentse stadsbier het levenslicht. Er bestaan 5 verschillende variaties: Gentse Gruut Wit, Gentse Gruut Blond, Gentse Gruut Amber, Gentse Gruut Bruin en Gentse Gruut Inferno. Wil jij de historiek van Gruut leren kennen? Met ons ruim aanbod van verschillende formules is er voor iedereen wel iets in de aanbieding: Gruutse brouwerijbezoek, workshop bieralchemist, boottochtjes maken of een lekker Gents dinertje. Zelfs een combinatie van deze opties is mogelijk. Voor meer info kan je surfen naar www.gruut.be of mailen naar booking@gruut.be.";"";"De nieuwe locatie is toegankelijk voor rolstoelgebruikers. ";"";"0";"";"Er is een aangepast toilet.";"0";"0";"0";"0";"1";"0";"0";"0";"";"";"";"";"";"";"";"";""
"276571";"ACTIVITY";"EXCURSION_OR_DAY_TRIP";"2025-03-06 11:35:06";"0";"Brouwerij Gulden Spoor";"Heulestraat";"170";"";"8560";"Wevelgem";"Wevelgem";"";"leieStreek";"69149.21000000001";"170959.7";"50.84342430004907";"3.220816763264108";"";"";"";"";"+32 56 44 41 08";"";"";"info@guldenspoor.be";"http://www.guldenspoor.be";"";"";"";"";"De brouwerij werd in 2003 opgericht onder de naam ‘t Brouwkot, nadat een schuur werd gerenoveerd om te voldoen aan alle hygiënevoorschriften in verband met voedselveiligheid. De brouwers willen een product van hoge kwaliteit afleveren. Ze gebruiken daarom enkel ingrediënten uit de streek en brouwen hun bieren nog steeds op traditionele wijze, en dat in tijden van massaproductie. In 2009 werd de brouwinstallatie uitgebreid en omgedoopt tot “Gulden Spoor”, een verwijzing naar de Leiestreek.";"http://toevla.vlaanderen.be/publiek/nl/register/detail/5009";"Brouwerij Gulden Spoor is ontstaan uit restaurant 't Rusteel, dat destijds gekend was als het café met 300 soorten bier. 't Rusteel groeide uit tot een bierminded restaurant, en dankzij deze groei kon ook de brouwerij blijven verbeteren. Sinds 2014 is de brouwerij verhuisd naar een moderne nieuwbouw om met nieuwe technieken en vakmanschap heel wat ambachtelijke bieren te ontwikkelen. Als familiebedrijf gebeurt alles transparant met een leuke sfeer en zicht op de toekomst. De locatie naast het restaurant geeft de mogelijkheid om rondleidingen te krijgen met lekkere hapjes, tot aansluitende menu's.";"";"Je kan hulp nodig hebben op de bolle kasseien en dwarshelling van het toegangspad. Aan de ingang is er een drempeltje van 4 cm. Verder is de brouwerij goed toegankelijk. ";"";"0";"";"Er is geen aangepast toilet.";"0";"0";"0";"0";"1";"0";"0";"0";"";"";"";"";"";"";"";"";""
"276567";"ACTIVITY";"EXCURSION_OR_DAY_TRIP";"2025-07-06 22:53:13";"0";"Brouwerij Omer Vander Ghinste";"Brouwtorenstraat ";"5";"";"8510";"Bellegem";"Kortrijk";"";"leieStreek";"73149.09";"163521.83";"50.77711141549548";"3.279147869340648";"";"";"";"";"+32 56 23 51 71";"";"";"visit@omer.be";"http://www.omervanderghinste.be";"";"";"";"";"In mei 1892 koopt Remi Vander Ghinste voor zijn zoon Omer een woonhuis met bijbehorende gebouwen van een brouwer. Datzelfde jaar nog rollen de eerste vaten Ouden Tripel over de Bellegemse kasseien. Wanneer de pils aan zijn opmars begint, ontwikkelt de brouwerij haar eigen pilsbier dat wordt verkocht onder de naam Ghinst pils. Het bier wordt later omgedoopt tot Bockor, een samentrekking van het Duitse woord “Bock” en het Franse woord “or”, het gouden bier dus. In 1970 lanceert de brouwerij verschillende geuzes en fruitbieren. Voor het grote succes is het wachten tot eind 2008, wanneer de combinatie van 120 jaar vakmanschap en vijf generaties brouwtraditie leidt tot het ontstaan van Omer, een blond bier van hoge gisting. Om de familietraditie te benadrukken verandert de brouwerij haar naam in Omer Vander Ghinste.

";"";"Brouwerij Omer Vander Ghinste uit Bellegem is een familiale, zelfstandige brouwerij opgericht in 1892.  Zij brouwt in het totaal 11 verschillende bieren, waaronder o.a. OMER. Traditional Blond, LeFort & Tripel LeFort, Kriek Max, Bockor,...  Met heel wat bieren mocht de brouwerij al verscheidene internationale erkenningen en medailles binnenhalen zoals die van ‘Beste Tripel Ter Wereld’. ";"";"";"Enkel de productie en brouwerijtoren (via een lift van 90 x 220 cm) zijn toegankelijk met hulp, de rest van de brouwerij niet. ";"0";"";"Er is geen aangepast toilet.";"0";"0";"0";"0";"1";"0";"0";"0";"";"";"";"";"";"";"";"";""
